Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Player Link
João Cancelo,pt POR,DF,Manchester City,26-233,1994,12.0,3.17,1.58,1.67,1.17,0.33,1.42,3.25,43.6,1.83,12.3,3.75,30.6,4.50,4.92,2.83,1.33,0.17,0.00,1.17,1.67,4.83,1.33,0.00,/en/players/bd6351cd/Joao-Cancelo
Ian Carlo Poveda,eng ENG,"MF,DF",Leeds United,20-341,2000,2.6,2.69,1.92,2.31,0.00,0.38,1.92,3.85,50.0,1.92,16.2,4.62,28.6,5.77,6.92,3.46,1.15,0.38,0.00,0.77,0.00,2.69,0.00,0.00,/en/players/55b4f1d6/Ian-Carlo-Poveda
Andy Carroll,eng ENG,FW,Newcastle Utd,32-009,1989,2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.0,0.80,13.6,3.60,26.5,0.40,7.20,6.00,0.40,0.00,0.00,0.40,0.40,0.40,4.00,0.00,/en/players/b581987a/Andy-Carroll
Matty Cash,eng ENG,DF,Aston Villa,23-161,1997,13.6,2.65,1.40,1.40,0.88,0.37,1.25,2.35,53.1,1.10,14.4,4.04,28.1,7.50,5.59,1.32,2.57,0.51,0.00,2.06,1.25,3.90,3.53,0.07,/en/players/2389cdc2/Matty-Cash
Timothy Castagne,be BEL,DF,Leicester City,25-041,1995,8.7,2.53,1.84,1.26,1.03,0.23,0.69,1.26,54.5,0.57,14.0,3.56,25.4,5.75,4.71,3.56,2.53,0.11,0.00,2.41,1.03,3.56,2.30,0.00,/en/players/197640fd/Timothy-Castagne
Ivan Cavaleiro,pt POR,FW,Fulham,27-089,1993,11.7,0.94,0.77,0.43,0.34,0.17,0.09,0.60,14.3,0.51,15.8,4.53,28.6,2.48,7.44,5.90,1.62,0.09,0.00,1.54,0.34,1.28,0.43,0.09,/en/players/979b811d/Ivan-Cavaleiro
Edinson Cavani,uy URU,FW,Manchester Utd,33-336,1987,4.4,0.45,0.45,0.00,0.45,0.00,0.00,0.91,0.0,0.91,15.9,4.09,25.7,1.36,6.14,8.41,0.68,0.23,0.00,0.45,0.91,1.36,0.91,0.00,/en/players/527f063d/Edinson-Cavani
Dani Ceballos,es ESP,MF,Arsenal,24-161,1996,11.3,2.21,2.04,1.06,0.88,0.27,0.62,2.92,21.2,2.30,14.4,4.07,28.2,6.99,5.04,2.39,1.50,0.44,0.09,1.06,1.68,3.89,1.15,0.00,/en/players/c0617e2b/Dani-Ceballos
Ben Chilwell,eng ENG,DF,Chelsea,24-025,1996,13.0,2.23,1.46,0.85,1.08,0.31,0.69,1.69,40.9,1.00,11.2,3.92,34.9,4.15,5.08,2.00,2.38,0.23,0.00,2.15,0.92,3.15,2.38,0.00,/en/players/d2424d1b/Ben-Chilwell
Hamza Choudhury,eng ENG,MF,Leicester City,23-106,1997,0.8,3.75,0.00,3.75,0.00,0.00,1.25,1.25,100.0,0.00,13.8,3.75,27.3,8.75,5.00,0.00,1.25,0.00,0.00,1.25,1.25,5.00,0.00,0.00,/en/players/7d2d3329/Hamza-Choudhury
Andreas Christensen,dk DEN,DF,Chelsea,24-280,1996,4.5,1.33,1.11,1.33,0.00,0.00,0.67,0.89,75.0,0.22,6.67,2.44,36.7,4.89,1.33,0.44,2.00,1.11,0.00,0.89,1.33,2.67,4.67,0.00,/en/players/1cb49278/Andreas-Christensen
Ciaran Clark,ie IRL,DF,Newcastle Utd,31-111,1989,9.0,1.33,0.67,0.78,0.33,0.22,0.00,0.33,0.0,0.33,8.00,2.22,27.8,5.11,2.33,0.56,2.56,0.78,0.00,1.78,0.78,2.11,5.33,0.00,/en/players/2b91cf8e/Ciaran-Clark
Nathaniel Clyne,eng ENG,DF,Crystal Palace,29-285,1991,8.8,1.48,0.45,0.91,0.57,0.00,0.45,0.80,57.1,0.34,8.18,2.84,34.7,4.55,2.27,1.36,1.93,0.23,0.00,1.70,0.80,2.27,1.70,0.00,/en/players/0442183b/Nathaniel-Clyne
Conor Coady,eng ENG,DF,Wolves,27-325,1993,17.0,0.76,0.47,0.53,0.24,0.00,0.29,1.00,29.4,0.71,5.06,1.71,33.7,3.65,1.41,0.00,1.71,1.06,0.00,0.65,0.88,1.65,4.06,0.06,/en/players/2928dca2/Conor-Coady
Séamus Coleman,ie IRL,DF,Everton,32-096,1988,6.4,2.03,1.72,1.25,0.63,0.16,0.94,2.19,42.9,1.25,11.1,3.13,28.2,6.72,2.81,1.56,1.88,0.31,0.00,1.56,0.31,2.34,2.50,0.00,/en/players/0420d84f/Seamus-Coleman
Aaron Connolly,ie IRL,FW,Brighton,20-353,2000,6.5,0.77,0.62,0.15,0.46,0.15,0.15,0.62,25.0,0.46,14.2,4.62,32.6,0.77,6.31,7.08,0.46,0.15,0.00,0.31,0.00,0.77,0.00,0.00,/en/players/27c01749/Aaron-Connolly
Liam Cooper,sco SCO,DF,Leeds United,29-138,1991,10.8,3.06,1.94,2.13,0.93,0.00,1.67,2.78,60.0,1.11,12.4,5.28,42.5,7.50,4.54,0.37,1.57,1.02,0.00,0.56,1.39,4.44,4.44,0.00,/en/players/dc64b8b3/Liam-Cooper
Hélder Costa,pt POR,MF,Leeds United,27-003,1994,7.5,2.13,1.07,1.07,0.40,0.67,0.67,2.27,29.4,1.60,19.3,5.87,30.3,7.07,6.00,6.27,1.73,0.00,0.00,1.73,0.40,2.53,0.53,0.00,/en/players/f13d02a6/Helder-Costa
Vladimír Coufal,cz CZE,DF,West Ham,28-146,1992,12.9,3.33,1.78,2.64,0.62,0.08,2.02,3.49,57.8,1.47,12.4,3.41,27.5,6.82,3.49,2.09,2.71,0.16,0.00,2.56,0.78,4.11,3.49,0.08,/en/players/fdf3cb77/Vladimir-Coufal
Aaron Cresswell,eng ENG,DF,West Ham,31-031,1989,17.0,1.00,0.47,0.53,0.35,0.12,0.47,1.06,44.4,0.59,6.18,1.65,26.7,3.53,2.47,0.18,1.53,0.41,0.00,1.12,0.71,1.71,2.59,0.00,/en/players/4f974391/Aaron-Cresswell
Patrick Cutrone,it ITA,FW,Wolves,23-012,1998,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,50.0,20.0,40.0,20.0,0.00,30.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,/en/players/a4fe8cda/Patrick-Cutrone
Stuart Dallas,nir NIR,"DF,MF",Leeds United,29-271,1991,16.9,2.96,1.95,1.78,0.95,0.24,1.18,3.08,38.5,1.89,14.3,5.44,38.0,6.63,6.09,1.60,1.66,0.00,0.00,1.66,1.42,4.38,1.42,0.06,/en/players/67ca8566/Stuart-Dallas
Scott Dann,eng ENG,DF,Crystal Palace,33-336,1987,8.0,1.00,0.88,0.88,0.13,0.00,0.38,1.00,37.5,0.63,4.50,1.63,36.1,2.88,1.50,0.13,1.25,0.63,0.00,0.63,0.25,1.25,4.00,0.13,/en/players/52105203/Scott-Dann
Karl Darlow,eng ENG,GK,Newcastle Utd,30-099,1990,17.0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.0,0.06,0.12,0.00,0.0,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.06,0.00,/en/players/cde3309f/Karl-Darlow
Ben Davies,wal WAL,DF,Tottenham,27-266,1993,7.6,1.18,0.39,0.53,0.39,0.26,0.53,1.58,33.3,1.05,13.3,2.63,19.8,5.92,4.61,2.76,1.71,0.53,0.00,1.18,0.53,1.71,4.74,0.00,/en/players/44781702/Ben-Davies
Tom Davies,eng ENG,"MF,DF",Everton,22-199,1998,5.4,2.04,2.04,0.93,1.11,0.00,0.37,2.41,15.4,2.04,16.7,5.93,35.6,7.78,6.48,2.41,1.85,0.56,0.00,1.30,1.67,3.70,0.93,0.00,/en/players/9228b07c/Tom-Davies
Keinan Davis,eng ENG,FW,Aston Villa,22-337,1998,0.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,5.00,3.33,66.7,0.00,1.67,3.33,0.00,0.00,0.00,0.00,0.00,0.00,1.67,0.00,/en/players/9deaf2c8/Keinan-Davis
Leif Davis,eng ENG,DF,Leeds United,21-003,2000,0.4,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.0,5.00,30.0,0.00,0.0,12.5,15.0,2.50,7.50,2.50,0.00,5.00,5.00,5.00,0.00,0.00,/en/players/8574c61f/Leif-Davis
Craig Dawson,eng ENG,DF,West Ham,30-254,1990,2.0,0.50,0.50,0.50,0.00,0.00,0.00,0.50,0.0,0.50,2.50,1.50,60.0,2.00,0.50,0.00,1.00,0.00,0.00,1.00,0.50,1.00,7.00,0.00,/en/players/3e9e06cb/Craig-Dawson
Kevin De Bruyne,be BEL,MF,Manchester City,29-201,1991,14.2,1.62,1.34,0.28,0.85,0.49,0.49,2.25,21.9,1.76,14.9,5.07,34.1,1.62,6.69,6.55,1.13,0.14,0.00,0.99,0.42,2.04,0.35,0.00,/en/players/e46012d4/Kevin-De-Bruyne
Liam Delap,eng ENG,FW,Manchester City,17-342,2003,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,15.0,2.50,16.7,0.00,12.5,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,/en/players/dd897ee7/Liam-Delap
Fabian Delph,eng ENG,"MF,DF",Everton,31-055,1989,2.4,1.25,0.42,0.83,0.42,0.00,0.00,0.42,0.0,0.42,8.33,1.67,20.0,3.33,5.00,0.00,1.25,0.00,0.00,1.25,1.67,2.92,1.25,0.00,/en/players/111c3236/Fabian-Delph
Leander Dendoncker,be BEL,MF,Wolves,25-275,1995,11.5,1.83,1.13,0.96,0.70,0.17,0.78,2.26,34.6,1.48,18.5,5.39,29.1,7.48,8.26,2.78,1.65,0.35,0.00,1.30,0.52,2.35,1.57,0.00,/en/players/5a7301ae/Leander-Dendoncker
Ibrahima Diallo,fr FRA,MF,Southampton,21-313,1999,2.3,2.61,1.74,1.30,1.30,0.00,1.74,3.04,57.1,1.30,20.4,7.39,36.2,4.78,13.9,1.74,2.17,0.00,0.00,2.17,1.30,3.91,1.74,0.00,/en/players/11ff3d56/Ibrahima-Diallo
Grady Diangana,eng ENG,"MF,FW",West Brom,22-271,1998,11.9,2.44,1.34,1.51,0.42,0.50,1.01,2.44,41.4,1.43,22.4,4.54,20.2,10.8,7.06,4.62,2.18,0.08,0.00,2.10,1.09,3.53,0.34,0.00,/en/players/f522d7ec/Grady-Diangana
Raphael Dias Belloli,br BRA,MF,Leeds United,24-032,1996,9.3,1.08,0.43,0.32,0.65,0.11,0.32,2.37,13.6,2.04,14.3,4.19,29.3,3.23,5.38,5.70,1.29,0.00,0.00,1.29,0.86,1.94,1.18,0.00,/en/players/3423f250/Raphael-Dias-Belloli
Rúben Dias,pt POR,DF,Manchester City,23-246,1997,13.8,0.80,0.58,0.51,0.29,0.00,0.07,0.51,14.3,0.43,5.36,1.81,33.8,3.19,1.67,0.51,1.59,0.80,0.00,0.80,0.51,1.30,3.55,0.00,/en/players/31c69ef1/Ruben-Dias
Eric Dier,eng ENG,DF,Tottenham,27-000,1994,16.0,0.56,0.25,0.31,0.19,0.06,0.31,0.63,50.0,0.31,4.56,1.25,27.4,3.06,1.31,0.19,1.56,1.06,0.00,0.50,0.63,1.19,6.81,0.00,/en/players/ac861941/Eric-Dier
Lucas Digne,fr FRA,"DF,MF",Everton,27-179,1993,8.8,2.05,1.02,1.36,0.45,0.23,0.80,2.05,38.9,1.25,13.9,3.30,23.8,6.25,4.77,2.84,2.39,0.23,0.00,2.16,0.11,2.16,3.07,0.00,/en/players/1b84dbe1/Lucas-Digne
Virgil van Dijk,nl NED,DF,Liverpool,29-191,1991,4.1,0.98,0.24,0.49,0.49,0.00,0.00,0.00,,0.00,3.41,0.73,21.4,1.71,1.71,0.00,0.73,0.49,0.00,0.24,0.00,0.98,3.17,0.24,/en/players/e06683ca/Virgil-van-Dijk
Issa Diop,fr FRA,DF,West Ham,24-006,1997,3.3,0.61,0.61,0.30,0.30,0.00,0.00,0.00,,0.00,5.15,1.82,35.3,2.12,2.12,0.91,1.52,1.21,0.00,0.30,0.61,1.21,3.94,0.30,/en/players/a712ca2b/Issa-Diop
Moussa Djenepo,ml MLI,MF,Southampton,22-214,1998,7.7,3.12,1.69,1.43,0.78,0.91,1.04,3.90,26.7,2.86,23.6,6.75,28.6,5.71,10.1,7.79,2.21,0.00,0.00,2.21,0.13,3.25,0.39,0.00,/en/players/254147d4/Moussa-Djenepo
Matt Doherty,ie IRL,DF,Tottenham,28-365,1992,7.8,1.92,0.64,0.64,0.64,0.64,1.03,2.44,42.1,1.41,12.9,2.69,20.8,5.38,5.00,2.56,2.95,0.51,0.00,2.44,0.64,2.56,3.33,0.00,/en/players/d557d734/Matt-Doherty
Gabriel Dos Santos,br BRA,DF,Arsenal,23-027,1997,11.7,1.28,0.85,0.94,0.34,0.00,0.43,0.85,50.0,0.43,6.50,2.48,38.2,3.85,2.22,0.43,2.05,1.37,0.00,0.68,0.68,1.97,4.36,0.17,/en/players/67ac5bb8/Gabriel-Dos-Santos
Abdoulaye Doucouré,fr FRA,MF,Everton,28-014,1993,16.1,1.86,1.49,1.18,0.43,0.25,0.43,1.49,29.2,1.06,18.5,5.16,27.9,7.52,7.83,3.17,1.68,0.37,0.00,1.30,1.24,3.11,0.81,0.06,/en/players/02b29014/Abdoulaye-Doucoure
Paul Dummett,wal WAL,DF,Newcastle Utd,29-111,1991,1.7,2.35,0.59,1.76,0.59,0.00,1.76,3.53,50.0,1.76,7.65,0.59,7.7,2.94,3.53,1.18,1.18,0.00,0.00,1.18,1.18,3.53,2.94,0.00,/en/players/3fe6bd8c/Paul-Dummett
Lewis Dunk,eng ENG,DF,Brighton,29-055,1991,15.0,1.33,0.67,0.80,0.47,0.07,0.60,0.93,64.3,0.33,5.60,2.13,38.1,3.13,2.20,0.27,1.27,0.80,0.00,0.47,0.60,1.93,3.27,0.00,/en/players/282f75f3/Lewis-Dunk
Jimmy Dunne,ie IRL,DF,Burnley,23-088,1997,2.0,0.50,0.50,0.50,0.00,0.00,0.50,0.50,100.0,0.00,6.50,3.50,53.8,4.00,2.00,0.50,2.00,1.50,0.00,0.50,0.00,0.50,3.50,0.00,/en/players/1fdfd6da/Jimmy-Dunne
Ederson,br BRA,GK,Manchester City,27-151,1993,15.0,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.0,0.07,0.07,0.00,0.0,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,/en/players/3bb7b8b4/Ederson
Kyle Edwards,eng ENG,"MF,FW",West Brom,22-333,1998,1.3,2.31,0.00,0.77,0.77,0.77,0.00,0.77,0.0,0.77,11.5,1.54,13.3,3.08,6.92,1.54,1.54,0.00,0.00,1.54,0.77,3.08,0.00,0.00,/en/players/1566e437/Kyle-Edwards
John Egan,ie IRL,DF,Sheffield Utd,28-087,1992,16.1,1.49,0.99,1.18,0.25,0.06,0.31,0.99,31.3,0.68,7.95,2.48,31.3,4.84,2.86,0.25,2.11,1.12,0.06,0.99,0.99,2.48,5.09,0.06,/en/players/debe38a0/John-Egan
Ahmed Elmohamady,eg EGY,DF,Aston Villa,33-128,1987,1.5,0.67,0.67,0.00,0.67,0.00,0.67,2.00,33.3,1.33,7.33,2.00,27.3,2.67,4.67,0.00,1.33,0.00,0.00,1.33,2.67,3.33,2.67,0.00,/en/players/615ef733/Ahmed-Elmohamady
Mohamed Elneny,eg EGY,MF,Arsenal,28-188,1992,9.7,0.62,0.31,0.41,0.21,0.00,0.31,0.82,37.5,0.52,11.2,3.40,30.3,4.33,5.15,1.75,1.24,0.41,0.00,0.82,1.24,1.86,1.03,0.10,/en/players/47a34c4f/Mohamed-Elneny
Jonny Evans,nir NIR,DF,Leicester City,33-012,1988,12.9,0.85,0.39,0.62,0.16,0.08,0.31,0.85,36.4,0.54,6.36,2.64,41.5,3.88,2.40,0.08,0.70,0.31,0.00,0.39,1.09,1.94,3.80,0.00,/en/players/f8fcd2a5/Jonny-Evans
Eberechi Eze,eng ENG,MF,Crystal Palace,22-200,1998,11.7,1.20,0.60,0.43,0.51,0.26,0.34,1.37,25.0,1.03,9.32,2.91,31.2,2.74,4.10,2.48,1.54,0.09,0.00,1.45,0.51,1.71,0.17,0.00,/en/players/ae4fc6a4/Eberechi-Eze
Łukasz Fabiański,pl POL,GK,West Ham,35-272,1985,16.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.25,0.06,25.0,0.25,0.00,0.00,0.13,0.00,0.00,0.13,0.00,0.00,0.00,0.00,/en/players/9328b835/Lukasz-Fabianski
Fabinho,br BRA,"DF,MF",Liverpool,27-084,1993,14.4,2.57,1.88,0.90,1.53,0.14,1.04,2.15,48.4,1.11,9.10,3.61,39.7,3.54,5.00,0.56,1.46,0.49,0.00,0.97,1.39,3.96,3.82,0.00,/en/players/7f3b388c/Fabinho
Bruno Fernandes,pt POR,MF,Manchester Utd,26-129,1994,15.4,2.27,1.69,0.84,0.97,0.45,0.71,2.92,24.4,2.21,19.8,5.06,25.6,3.05,9.55,7.21,1.95,0.06,0.00,1.88,0.45,2.73,0.84,0.00,/en/players/507c7bdf/Bruno-Fernandes
Federico Fernández,ar ARG,DF,Newcastle Utd,31-329,1989,15.3,1.83,0.92,1.31,0.39,0.13,0.72,1.24,57.9,0.52,8.37,2.42,28.9,5.62,2.35,0.39,2.42,1.50,0.00,0.92,0.46,2.29,6.54,0.07,/en/players/f25b010f/Federico-Fernandez
Fernandinho,br BRA,MF,Manchester City,35-256,1985,3.8,1.84,1.32,0.00,1.32,0.53,0.53,2.63,20.0,2.11,14.2,3.95,27.8,1.58,10.5,2.11,0.53,0.00,0.00,0.53,1.05,2.89,1.32,0.00,/en/players/101da2b5/Fernandinho
Sam Field,eng ENG,MF,West Brom,22-252,1998,0.7,12.9,10.0,5.71,7.14,0.00,2.86,4.29,66.7,1.43,31.4,14.3,45.5,11.4,18.6,1.43,8.57,1.43,0.00,7.14,0.00,12.9,5.71,0.00,/en/players/bd8a7d05/Sam-Field
Roberto Firmino,br BRA,"FW,MF",Liverpool,29-105,1991,15.5,1.23,0.71,0.19,0.39,0.65,0.39,1.03,37.5,0.65,14.8,4.26,28.7,1.87,6.00,6.97,1.61,0.00,0.00,1.61,0.26,1.48,0.45,0.00,/en/players/4c370d81/Roberto-Firmino
John Fleck,sco SCO,MF,Sheffield Utd,29-144,1991,9.7,1.44,0.62,0.72,0.52,0.21,0.21,1.55,13.3,1.34,14.5,3.71,25.5,4.74,7.32,2.47,1.13,0.00,0.00,1.13,0.82,2.27,0.62,0.00,/en/players/b63e789d/John-Fleck
Phil Foden,eng ENG,"FW,DF",Manchester City,20-232,2000,7.5,1.33,0.53,0.53,0.40,0.40,0.40,1.07,37.5,0.67,15.3,3.87,25.2,2.93,5.33,7.07,0.67,0.00,0.00,0.67,0.40,1.73,0.40,0.00,/en/players/ed1e53f3/Phil-Foden
Wesley Fofana,fr FRA,DF,Leicester City,20-029,2000,12.0,2.42,1.58,1.58,0.75,0.08,0.42,1.42,29.4,1.00,9.58,3.25,33.9,6.25,3.17,0.17,2.33,1.00,0.00,1.33,1.75,4.17,4.17,0.00,/en/players/132a82f1/Wesley-Fofana
Pablo Fornals,es ESP,"MF,FW",West Ham,24-328,1996,14.0,1.00,0.57,0.21,0.64,0.14,0.29,2.86,10.0,2.57,19.0,3.79,19.9,6.50,8.71,3.79,1.86,0.07,0.00,1.79,0.57,1.57,0.21,0.07,/en/players/82927de4/Pablo-Fornals
Fraser Forster,eng ENG,GK,Southampton,32-304,1988,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,/en/players/c3e39f12/Fraser-Forster
Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,23-013,1998,0.9,3.33,1.11,2.22,1.11,0.00,1.11,1.11,100.0,0.00,7.78,2.22,28.6,3.33,4.44,0.00,1.11,0.00,0.00,1.11,1.11,4.44,1.11,0.00,/en/players/a9142dc3/Timothy-Fosu-Mensah
Ryan Fraser,sco SCO,"MF,FW",Newcastle Utd,26-326,1994,3.5,0.29,0.00,0.29,0.00,0.00,0.00,0.00,,0.00,10.3,1.71,16.7,2.86,4.86,2.57,1.43,0.00,0.00,1.43,0.29,0.57,0.57,0.00,/en/players/d56543a0/Ryan-Fraser
Fred,br BRA,MF,Manchester Utd,27-316,1993,10.1,2.87,1.58,1.49,1.29,0.10,0.69,3.07,22.6,2.38,23.9,6.73,28.2,8.71,11.2,3.96,2.08,0.30,0.00,1.78,1.78,4.65,0.69,0.10,/en/players/b853e0ad/Fred
Ryan Fredericks,eng ENG,DF,West Ham,28-097,1992,3.5,2.00,1.14,1.14,0.86,0.00,0.86,1.71,50.0,0.86,10.9,2.29,21.1,6.29,2.00,2.57,2.57,0.29,0.00,2.29,0.57,2.57,4.29,0.00,/en/players/c067631c/Ryan-Fredericks
Christian Fuchs,at AUT,DF,Leicester City,34-283,1986,7.8,1.92,1.15,1.67,0.13,0.13,0.64,1.79,35.7,1.15,11.0,2.95,26.7,6.79,3.33,0.90,2.05,0.51,0.13,1.54,1.54,3.46,3.97,0.00,/en/players/a67a09fb/Christian-Fuchs
Darnell Furlong,eng ENG,DF,West Brom,25-076,1995,15.8,0.95,0.44,0.57,0.25,0.13,0.44,1.33,33.3,0.89,7.91,2.15,27.2,4.11,2.34,1.46,2.53,0.63,0.00,1.90,0.82,1.77,3.10,0.06,/en/players/3ec9195b/Darnell-Furlong
Conor Gallagher,eng ENG,MF,West Brom,20-344,2000,12.9,3.18,2.09,1.24,1.40,0.54,0.85,3.33,25.6,2.48,24.6,7.29,29.7,8.76,12.0,3.80,2.33,0.31,0.00,2.02,1.16,4.34,1.32,0.00,/en/players/c2731c10/Conor-Gallagher
Eric García,es ESP,DF,Manchester City,20-006,2001,2.2,2.73,0.91,1.82,0.45,0.45,0.91,2.27,40.0,1.36,6.82,2.27,33.3,4.55,2.27,0.00,0.91,0.00,0.00,0.91,1.36,4.09,3.18,0.00,/en/players/2bed3eab/Eric-Garcia
Dwight Gayle,eng ENG,FW,Newcastle Utd,30-090,1990,0.7,0.00,0.00,0.00,0.00,0.00,0.00,4.29,0.0,4.29,21.4,2.86,13.3,2.86,10.0,8.57,0.00,0.00,0.00,0.00,1.43,1.43,0.00,0.00,/en/players/e58a03c6/Dwight-Gayle
David de Gea,es ESP,GK,Manchester Utd,30-069,1990,14.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,/en/players/7ba6d84e/David-de-Gea
Anwar El Ghazi,nl NED,FW,Aston Villa,25-257,1995,5.4,1.11,0.93,0.56,0.19,0.37,0.19,1.11,16.7,0.93,9.07,2.59,28.6,2.96,3.70,2.41,0.74,0.00,0.00,0.74,0.19,1.30,0.19,0.00,/en/players/ffa90327/Anwar-El-Ghazi
