Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Player Link
Kieran Gibbs,eng ENG,DF,West Brom,31-111,1989,5.0,1.40,0.20,1.20,0.20,0.00,0.20,0.40,50.0,0.20,8.40,1.60,19.0,5.20,2.60,0.60,2.00,0.60,0.00,1.40,1.20,2.60,3.20,0.00,/en/players/46ee5234/Kieran-Gibbs
Morgan Gibbs-White,eng ENG,FW,Wolves,20-354,2000,0.7,0.00,0.00,0.00,0.00,0.00,0.00,2.86,0.0,2.86,20.0,4.29,21.4,1.43,12.9,5.71,0.00,0.00,0.00,0.00,2.86,2.86,0.00,0.00,/en/players/32f60ed8/Morgan-Gibbs-White
Billy Gilmour,sco SCO,MF,Chelsea,19-218,2001,0.4,7.50,2.50,2.50,5.00,0.00,2.50,2.50,100.0,0.00,25.0,17.5,70.0,12.5,7.50,5.00,5.00,2.50,0.00,2.50,2.50,10.0,0.00,0.00,/en/players/df10e27c/Billy-Gilmour
Olivier Giroud,fr FRA,FW,Chelsea,34-107,1986,4.0,1.00,0.50,0.00,0.50,0.50,0.00,0.75,0.0,0.75,17.8,4.75,26.8,2.00,7.00,8.75,0.25,0.25,0.00,0.00,0.50,1.50,1.75,0.00,/en/players/16ceb862/Olivier-Giroud
Ben Godfrey,eng ENG,DF,Everton,23-000,1998,10.7,2.15,0.93,1.21,0.75,0.19,1.03,1.59,64.7,0.56,13.5,4.11,30.6,8.60,4.11,0.75,2.24,0.84,0.09,1.40,1.87,4.02,2.80,0.00,/en/players/9f7c837d/Ben-Godfrey
André Gomes,pt POR,MF,Everton,27-169,1993,6.4,2.97,2.03,1.41,1.25,0.31,1.09,2.50,43.8,1.41,19.8,6.41,32.3,5.94,10.0,3.91,1.88,0.00,0.00,1.88,0.47,3.44,0.63,0.00,/en/players/1961b2aa/Andre-Gomes
Joe Gomez,eng ENG,DF,Liverpool,23-237,1997,6.6,0.76,0.30,0.30,0.45,0.00,0.00,0.61,0.0,0.61,5.91,2.27,38.5,3.64,1.97,0.30,1.06,0.45,0.00,0.61,0.76,1.52,4.85,0.30,/en/players/7a11550b/Joe-Gomez
Anthony Gordon,eng ENG,"FW,MF",Everton,19-326,2001,1.0,3.00,2.00,3.00,0.00,0.00,0.00,2.00,0.0,2.00,18.0,3.00,16.7,5.00,9.00,4.00,2.00,0.00,0.00,2.00,1.00,4.00,1.00,0.00,/en/players/2bd83368/Anthony-Gordon
Karlan Grant,eng ENG,FW,West Brom,23-119,1997,9.5,0.32,0.11,0.00,0.32,0.00,0.11,0.32,33.3,0.21,12.4,3.16,25.4,0.95,5.16,6.32,0.53,0.00,0.00,0.53,0.63,0.95,1.16,0.00,/en/players/87f7500e/Karlan-Grant
Demarai Gray,eng ENG,FW,Leicester City,24-201,1996,0.2,10.0,10.0,10.0,0.00,0.00,0.00,0.00,,0.00,25.0,10.0,40.0,5.00,5.00,15.0,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,/en/players/4468ec10/Demarai-Gray
Jack Grealish,eng ENG,"FW,MF",Aston Villa,25-127,1995,15.0,1.13,0.73,0.20,0.60,0.33,0.13,0.80,16.7,0.67,13.6,4.93,36.3,2.93,5.33,5.33,0.93,0.07,0.00,0.87,0.40,1.53,0.13,0.07,/en/players/b0b4fd3e/Jack-Grealish
Mason Greenwood,eng ENG,FW,Manchester Utd,19-106,2001,7.0,1.71,1.14,0.86,0.29,0.57,0.14,1.43,10.0,1.29,13.9,3.57,25.8,2.43,6.86,4.57,0.43,0.00,0.00,0.43,0.57,2.29,0.00,0.00,/en/players/58eee997/Mason-Greenwood
Pascal Groß,de GER,MF,Brighton,29-214,1991,8.0,1.13,0.75,0.63,0.50,0.00,0.25,0.88,28.6,0.63,12.6,3.50,27.7,3.25,6.38,3.00,1.13,0.25,0.00,0.88,0.50,1.63,0.75,0.00,/en/players/8aec0537/Pascal-Gross
Kamil Grosicki,pl POL,"FW,MF",West Brom,32-221,1988,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,10.0,10.0,100.0,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,/en/players/81d8091f/Kamil-Grosicki
Vicente Guaita,es ESP,GK,Crystal Palace,34-005,1987,18.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.17,0.06,33.3,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,/en/players/ab13a5aa/Vicente-Guaita
İlkay Gündoğan,de GER,MF,Manchester City,30-083,1990,9.2,0.98,0.65,0.54,0.43,0.00,0.33,1.85,17.6,1.52,10.1,3.26,32.3,2.83,5.00,2.28,1.09,0.33,0.00,0.76,0.65,1.63,0.65,0.00,/en/players/819b3158/Ilkay-Gundogan
Antwoine Hackford,eng ENG,"DF,FW",Sheffield Utd,16-301,2004,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,30.0,20.0,66.7,0.00,0.00,30.0,10.0,0.00,0.00,10.0,0.00,0.00,0.00,0.00,/en/players/a7588cdc/Antwoine-Hackford
Sébastien Haller,ci CIV,FW,West Ham,26-207,1994,10.4,1.06,0.38,0.10,0.48,0.48,0.38,1.73,22.2,1.35,19.1,4.04,21.1,1.15,11.1,6.92,0.38,0.10,0.00,0.29,0.48,1.54,0.67,0.00,/en/players/ba115a40/Sebastien-Haller
Rekeem Harper,eng ENG,MF,West Brom,20-313,2000,0.4,5.00,2.50,2.50,2.50,0.00,2.50,2.50,100.0,0.00,22.5,0.00,0.0,5.00,15.0,2.50,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,/en/players/3c066877/Rekeem-Harper
Jack Harrison,eng ENG,MF,Leeds United,24-056,1996,14.5,2.07,1.17,1.17,0.41,0.48,0.55,1.38,40.0,0.83,17.9,6.14,34.4,5.45,5.86,6.55,0.83,0.00,0.00,0.83,0.55,2.62,0.69,0.00,/en/players/aa849a12/Jack-Harrison
Kortney Hause,eng ENG,DF,Aston Villa,25-183,1995,4.0,1.00,1.00,0.50,0.50,0.00,0.00,0.00,,0.00,3.75,1.50,40.0,2.00,1.50,0.25,1.00,0.50,0.00,0.50,0.75,1.75,8.50,0.00,/en/players/bf8fad51/Kortney-Hause
Kai Havertz,de GER,"MF,FW",Chelsea,21-218,1999,9.1,1.54,0.88,0.55,0.88,0.11,0.33,2.09,15.8,1.76,16.0,3.74,23.3,3.41,7.91,4.73,1.87,0.22,0.00,1.65,0.77,2.31,1.21,0.11,/en/players/fed7cb61/Kai-Havertz
Isaac Hayden,eng ENG,"MF,DF",Newcastle Utd,25-299,1995,11.1,1.62,1.26,0.63,0.90,0.09,0.27,0.81,33.3,0.54,16.4,3.96,24.2,7.30,7.21,1.89,2.34,0.36,0.00,1.98,1.71,3.33,2.97,0.09,/en/players/c951a6df/Isaac-Hayden
Michael Hector,jm JAM,DF,Fulham,28-180,1992,2.9,2.41,1.72,1.38,1.03,0.00,1.03,2.41,42.9,1.38,9.66,3.79,39.3,7.24,2.41,0.00,2.07,1.03,0.34,1.03,0.00,2.41,3.79,0.00,/en/players/5f1a2f31/Michael-Hector
Ahmed Hegazi,eg EGY,DF,West Brom,29-356,1991,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,10.0,4.00,40.0,8.00,2.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,11.0,0.00,/en/players/5540c9dc/Ahmed-Hegazi
Dean Henderson,eng ENG,GK,Manchester Utd,23-309,1997,2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.0,0.40,1.20,0.40,33.3,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,/en/players/e5a76dfe/Dean-Henderson
Jordan Henderson,eng ENG,"MF,DF",Liverpool,30-212,1990,12.6,1.11,0.63,0.40,0.48,0.24,0.48,1.67,28.6,1.19,11.3,3.73,33.1,3.02,5.87,2.38,1.90,0.16,0.08,1.75,0.95,2.06,1.35,0.00,/en/players/935e6b8f/Jordan-Henderson
Jeff Hendrick,ie IRL,MF,Newcastle Utd,28-350,1992,10.1,0.30,0.20,0.20,0.10,0.00,0.00,1.19,0.0,1.19,11.0,2.57,23.4,2.97,6.63,1.39,1.78,0.69,0.00,1.09,0.50,0.79,1.98,0.00,/en/players/989d5705/Jeff-Hendrick
Pablo Hernández,es ESP,MF,Leeds United,35-279,1985,2.7,1.85,0.74,0.74,0.37,0.74,1.48,4.81,30.8,3.33,15.9,3.33,20.9,1.85,8.15,5.93,0.00,0.00,0.00,0.00,1.11,2.96,0.00,0.00,/en/players/c0398aca/Pablo-Hernandez
Son Heung-min,kr KOR,FW,Tottenham,28-191,1992,15.9,0.75,0.25,0.31,0.25,0.19,0.25,2.01,12.5,1.76,19.7,4.21,21.4,4.03,10.0,5.66,1.26,0.19,0.00,1.07,0.69,1.45,0.13,0.00,/en/players/92e7e919/Son-Heung-min
Ki-Jana Hoever,nl NED,"DF,FW",Wolves,18-363,2002,1.6,3.75,1.88,3.13,0.63,0.00,2.50,4.38,57.1,1.88,15.6,1.88,12.0,9.38,5.63,0.63,0.00,0.00,0.00,0.00,1.25,5.00,3.75,0.00,/en/players/9a71e978/Ki-Jana-Hoever
Rob Holding,eng ENG,DF,Arsenal,25-117,1995,14.5,1.31,0.69,0.83,0.34,0.14,0.41,0.97,42.9,0.55,9.93,2.97,29.9,6.07,3.52,0.34,1.72,0.83,0.00,0.90,0.55,1.86,5.10,0.00,/en/players/d79a8c87/Rob-Holding
Mason Holgate,eng ENG,DF,Everton,24-085,1996,7.9,2.03,1.14,1.14,0.63,0.25,0.76,1.90,40.0,1.14,9.75,2.91,29.9,3.67,4.05,2.03,2.15,0.51,0.00,1.65,2.03,4.05,3.54,0.00,/en/players/d0042ab9/Mason-Holgate
Conor Hourihane,ie IRL,MF,Aston Villa,29-348,1991,2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.0,0.80,6.80,2.40,35.3,1.60,2.40,2.80,1.20,0.00,0.00,1.20,0.00,0.00,0.80,0.00,/en/players/fcab00a0/Conor-Hourihane
Callum Hudson-Odoi,eng ENG,FW,Chelsea,20-069,2000,3.7,1.35,0.81,0.27,0.81,0.27,0.27,1.08,25.0,0.81,8.38,2.70,32.3,1.08,4.59,2.70,0.54,0.00,0.00,0.54,0.54,1.89,0.27,0.00,/en/players/15f3ec41/Callum-Hudson-Odoi
Pierre Højbjerg,dk DEN,MF,Tottenham,25-163,1995,17.0,3.76,2.53,1.88,1.53,0.35,1.71,3.47,49.2,1.76,20.1,5.82,29.0,9.12,9.06,1.88,1.35,0.24,0.00,1.12,1.06,4.82,2.12,0.00,/en/players/8b04d6c1/Pierre-Hojbjerg
Odion Ighalo,ng NGA,FW,Manchester Utd,31-213,1989,0.1,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.0,10.0,20.0,0.00,0.0,10.0,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,/en/players/03622183/Odion-Ighalo
Kelechi Iheanacho,ng NGA,"FW,MF",Leicester City,24-104,1996,2.6,0.00,0.00,0.00,0.00,0.00,0.00,0.77,0.0,0.77,15.4,2.31,15.0,0.38,7.31,7.69,1.92,0.38,0.00,1.54,0.00,0.00,0.38,0.00,/en/players/c92e1a31/Kelechi-Iheanacho
Danny Ings,eng ENG,FW,Southampton,28-176,1992,11.7,1.03,0.43,0.43,0.51,0.09,0.51,1.20,42.9,0.68,16.7,4.19,25.1,2.39,6.41,7.86,2.48,0.17,0.00,2.31,0.17,1.20,0.85,0.09,/en/players/07802f7f/Danny-Ings
Branislav Ivanović,rs SRB,DF,West Brom,36-328,1984,8.2,1.71,0.61,1.10,0.61,0.00,0.61,1.34,45.5,0.73,10.0,2.20,22.0,6.46,3.41,0.12,1.71,0.85,0.00,0.85,0.37,2.07,3.54,0.00,/en/players/85f8571a/Branislav-Ivanovic
Alex Iwobi,ng NGA,"FW,DF",Everton,24-257,1996,9.7,1.86,1.34,0.82,1.03,0.00,0.72,1.75,41.2,1.03,11.9,3.81,32.2,5.57,3.71,2.58,1.55,0.10,0.00,1.44,1.03,2.89,1.03,0.00,/en/players/6ca5ec4b/Alex-Iwobi
Phil Jagielka,eng ENG,"DF,MF",Sheffield Utd,38-151,1982,1.6,2.50,0.00,1.88,0.63,0.00,1.25,1.88,66.7,0.63,9.38,1.88,20.0,5.63,3.75,0.00,2.50,0.63,0.00,1.88,1.25,3.75,4.38,0.63,/en/players/3233eefd/Phil-Jagielka
Alireza Jahanbakhsh,ir IRN,"FW,DF",Brighton,27-157,1993,2.8,1.43,0.71,0.00,1.07,0.36,0.71,2.50,28.6,1.79,13.2,3.93,29.7,1.43,4.64,7.14,1.43,0.00,0.00,1.43,0.71,2.14,0.00,0.00,/en/players/08452314/Alireza-Jahanbakhsh
Daniel James,wal WAL,FW,Manchester Utd,23-066,1997,3.6,1.11,0.83,0.28,0.56,0.28,0.00,2.22,0.0,2.22,16.7,4.17,25.0,2.22,6.94,7.50,1.67,0.00,0.00,1.67,1.39,2.50,0.28,0.00,/en/players/c931d9f9/Daniel-James
Reece James,eng ENG,DF,Chelsea,21-038,1999,12.0,2.67,1.42,1.75,0.83,0.08,0.83,1.67,50.0,0.83,14.3,4.00,28.1,6.83,6.17,1.25,2.33,0.42,0.00,1.92,1.25,3.92,2.08,0.00,/en/players/1265a93a/Reece-James
Gabriel Jesus,br BRA,FW,Manchester City,23-287,1997,7.3,0.96,0.55,0.55,0.27,0.14,0.55,1.10,50.0,0.55,14.2,4.38,30.8,1.78,4.93,7.53,0.68,0.14,0.00,0.55,1.37,2.33,0.14,0.00,/en/players/b66315ae/Gabriel-Jesus
Raúl Jiménez,mx MEX,FW,Wolves,29-255,1991,9.1,0.77,0.44,0.11,0.44,0.22,0.00,0.77,0.0,0.77,9.89,2.42,24.4,1.32,3.96,4.62,0.88,0.11,0.00,0.77,0.66,1.43,1.10,0.11,/en/players/b561db50/Raul-Jimenez
Joelinton,br BRA,"FW,MF",Newcastle Utd,24-154,1996,10.6,1.98,1.04,0.28,1.32,0.38,0.94,1.79,52.6,0.85,17.7,4.43,25.0,3.68,10.1,3.96,1.42,0.09,0.00,1.32,0.47,2.45,1.23,0.00,/en/players/c17bfb65/Joelinton
Ben Johnson,eng ENG,DF,West Ham,20-357,2000,1.6,1.25,0.63,1.25,0.00,0.00,1.25,1.25,100.0,0.00,7.50,1.25,16.7,3.75,3.75,0.00,0.63,0.00,0.00,0.63,1.25,2.50,0.63,0.00,/en/players/9319781b/Ben-Johnson
Sam Johnstone,eng ENG,GK,West Brom,27-296,1993,17.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.12,0.12,100.0,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,/en/players/9e5708be/Sam-Johnstone
Curtis Jones,eng ENG,MF,Liverpool,19-351,2001,7.5,2.13,1.60,0.93,0.80,0.40,1.20,2.27,52.9,1.07,15.9,5.47,34.5,4.13,6.53,5.20,1.20,0.00,0.00,1.20,0.80,2.93,0.93,0.13,/en/players/4fb9c88f/Curtis-Jones
Jorginho,it ITA,MF,Chelsea,29-026,1991,7.1,2.82,1.41,1.55,0.70,0.56,0.85,2.39,35.3,1.55,20.3,8.17,40.3,8.03,9.72,2.54,1.83,0.14,0.00,1.69,1.97,4.79,0.85,0.00,/en/players/45db685d/Jorginho
Diogo Jota,pt POR,FW,Liverpool,24-042,1996,5.6,0.89,0.54,0.18,0.36,0.36,0.18,2.86,6.3,2.68,23.0,5.71,24.8,6.07,8.93,8.04,0.71,0.00,0.00,0.71,0.54,1.43,0.18,0.00,/en/players/178ae8f8/Diogo-Jota
James Justin,eng ENG,DF,Leicester City,22-327,1998,17.0,2.59,1.12,1.76,0.65,0.18,0.59,1.35,43.5,0.76,14.6,4.76,32.5,8.00,4.29,2.35,1.94,0.35,0.00,1.59,0.94,3.53,2.00,0.00,/en/players/fb614c44/James-Justin
Aboubakar Kamara,fr FRA,"FW,DF",Fulham,25-314,1995,3.2,0.63,0.63,0.63,0.00,0.00,0.31,1.56,20.0,1.25,18.8,3.13,16.7,3.13,8.13,7.50,2.81,0.31,0.00,2.50,0.63,1.25,0.63,0.00,/en/players/4047c976/Aboubakar-Kamara
Harry Kane,eng ENG,FW,Tottenham,27-171,1993,16.9,0.53,0.36,0.18,0.24,0.12,0.18,0.71,25.0,0.53,12.8,2.96,23.0,0.95,6.21,5.68,1.12,0.47,0.06,0.65,0.41,0.95,1.66,0.00,/en/players/21a66f6a/Harry-Kane
N'Golo Kanté,fr FRA,MF,Chelsea,29-292,1991,16.4,3.41,2.13,1.71,1.59,0.12,1.16,2.74,42.2,1.59,20.1,7.13,35.6,8.90,8.60,2.56,2.50,0.18,0.00,2.32,2.26,5.67,1.16,0.00,/en/players/b9fbae28/NGolo-Kante
Moise Kean,it ITA,FW,Everton,20-322,2000,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,5.00,0.00,0.0,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,/en/players/3d50bcdb/Moise-Kean
Michael Keane,eng ENG,DF,Everton,28-004,1993,15.7,0.96,0.51,0.70,0.19,0.06,0.32,0.76,41.7,0.45,4.90,1.85,37.7,3.18,1.40,0.32,1.72,1.02,0.00,0.70,0.64,1.59,4.84,0.06,/en/players/c5b7c315/Michael-Keane
Neeskens Kebano,cd COD,"FW,MF",Fulham,28-311,1992,1.3,0.77,0.77,0.77,0.00,0.00,0.77,2.31,33.3,1.54,23.1,6.92,30.0,3.08,10.0,10.0,3.85,0.00,0.00,3.85,0.00,0.77,0.77,0.00,/en/players/18b999f4/Neeskens-Kebano
Naby Keïta,gn GUI,MF,Liverpool,25-340,1995,4.4,1.36,0.91,0.91,0.23,0.23,0.23,3.18,7.1,2.95,27.0,7.73,28.6,3.41,13.2,10.5,1.82,0.00,0.00,1.82,2.27,3.64,0.45,0.00,/en/players/f25c8e3a/Naby-Keita
Caoimhin Kelleher,ie IRL,GK,Liverpool,22-053,1998,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,/en/players/62d7ef38/Caoimhin-Kelleher
Jonjoe Kenny,eng ENG,DF,Everton,23-306,1997,0.9,1.11,0.00,1.11,0.00,0.00,0.00,1.11,0.0,1.11,12.2,1.11,9.1,4.44,4.44,3.33,2.22,0.00,0.00,2.22,1.11,2.22,1.11,0.00,/en/players/099e666f/Jonjoe-Kenny
Reda Khadra,de GER,FW,Brighton,19-195,2001,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,10.0,10.0,100.0,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,/en/players/88acf83f/Reda-Khadra
Max Kilman,eng ENG,DF,Wolves,23-237,1997,8.4,1.31,0.83,1.07,0.24,0.00,0.60,1.07,55.6,0.48,7.86,2.26,28.8,5.48,2.14,0.24,1.43,0.60,0.00,0.83,0.83,2.14,3.33,0.00,/en/players/d0f72bf1/Max-Kilman
Mateusz Klich,pl POL,MF,Leeds United,30-216,1990,15.6,2.12,1.73,0.77,0.96,0.38,0.32,1.99,16.1,1.67,20.4,6.41,31.4,4.81,10.8,4.81,1.28,0.26,0.00,1.03,0.77,2.88,0.77,0.00,/en/players/282679b4/Mateusz-Klich
Robin Koch,de GER,DF,Leeds United,24-182,1996,10.1,1.98,1.29,1.29,0.69,0.00,0.89,1.78,50.0,0.89,12.1,3.27,27.0,6.73,5.15,0.20,2.38,1.09,0.00,1.29,0.69,2.67,2.87,0.20,/en/players/ea6bc03a/Robin-Koch
Sead Kolašinac,ba BIH,DF,Arsenal,27-209,1993,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,3.00,1.00,33.3,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,/en/players/3935e52e/Sead-Kolasinac
Ezri Konsa,eng ENG,DF,Aston Villa,23-084,1997,12.5,0.80,0.48,0.64,0.16,0.00,0.32,0.32,100.0,0.00,6.24,1.92,30.8,3.68,1.92,0.64,1.36,0.72,0.00,0.64,0.24,1.04,4.80,0.00,/en/players/0313a347/Ezri-Konsa
Cheikhou Kouyaté,sn SEN,DF,Crystal Palace,31-025,1989,17.7,1.69,1.02,1.30,0.34,0.06,0.68,1.30,52.2,0.62,8.64,3.05,35.3,5.59,2.49,0.56,1.53,0.73,0.00,0.79,0.79,2.49,4.52,0.06,/en/players/8d3c902d/Cheikhou-Kouyate
Mateo Kovačić,hr CRO,MF,Chelsea,26-254,1994,7.2,1.94,1.25,0.97,0.97,0.00,0.69,1.81,38.5,1.11,16.5,4.03,24.4,4.31,8.47,3.75,1.39,0.14,0.00,1.25,1.25,3.19,0.56,0.00,/en/players/79c0821a/Mateo-Kovacic
Emil Krafth,se SWE,DF,Newcastle Utd,26-166,1994,3.2,2.50,1.88,0.63,1.88,0.00,0.63,0.94,66.7,0.31,14.1,4.38,31.1,6.56,5.63,1.88,0.94,0.63,0.00,0.31,0.63,3.13,4.69,0.00,/en/players/77cf6852/Emil-Krafth
Filip Krovinović,hr CRO,MF,West Brom,25-139,1995,6.1,2.62,1.64,0.98,1.15,0.49,0.82,2.95,27.8,2.13,16.2,3.44,21.2,5.74,8.52,1.97,0.82,0.00,0.00,0.82,0.33,2.95,0.82,0.00,/en/players/c2dfedeb/Filip-Krovinovic
Alexandre Lacazette,fr FRA,FW,Arsenal,29-232,1991,10.5,1.52,1.14,0.48,0.76,0.29,0.19,0.86,22.2,0.67,15.5,5.24,33.7,2.19,6.95,6.38,1.33,0.19,0.00,1.14,0.76,2.29,0.48,0.00,/en/players/9dbb75ca/Alexandre-Lacazette
Adam Lallana,eng ENG,"MF,FW",Brighton,32-250,1988,8.5,0.71,0.59,0.59,0.00,0.12,0.12,1.88,6.3,1.76,16.4,4.82,29.5,4.35,7.65,4.35,1.29,0.00,0.00,1.29,0.94,1.65,0.94,0.00,/en/players/99813635/Adam-Lallana
Érik Lamela,ar ARG,FW,Tottenham,28-317,1992,2.4,2.92,2.08,0.00,2.08,0.83,0.42,1.25,33.3,0.83,22.9,6.67,29.1,4.58,11.7,6.67,0.00,0.00,0.00,0.00,0.42,3.33,0.42,0.00,/en/players/abe66106/Erik-Lamela
Tariq Lamptey,eng ENG,DF,Brighton,20-107,2000,9.8,1.73,1.02,0.92,0.61,0.20,0.71,1.33,53.8,0.61,12.7,4.18,33.1,5.00,5.41,2.24,1.53,0.10,0.00,1.43,1.33,3.06,1.73,0.00,/en/players/f4e433d4/Tariq-Lamptey
Manuel Lanzini,ar ARG,"MF,FW",West Ham,27-335,1993,2.6,0.38,0.38,0.00,0.38,0.00,0.38,1.15,33.3,0.77,18.5,6.54,35.4,4.62,8.08,5.77,3.46,0.00,0.00,3.46,1.54,1.92,0.00,0.00,/en/players/26f6dca8/Manuel-Lanzini
